Offense,Bailable
counterfeiting currencynotes or banknote,nonbailable
cohabitation caused by a man deceitfully inducing a belief of lawful marriage,bailable
enticing or taking away or detaining with criminal intent a married woman,bailable
criminal intimidation,bailable
word gesture or act intended to insult the modesty of a woman,bailable
misconduct in public by a drunken person,bailable
public servant disobeying direction under law,nonbailable
public servant framing incorrect document with intent to cause injury,nonbailable
undue influence at election,bailable
nonattendance in obedience to an order from public servant,bailable
false information with intent to cause public servant to use his lawful power to the injury of another person,bailable
false evidence,nonbailable
fraudulently obtaining decree for sum not due,nonbailable
commitment for trial or confinement by person having authority who know that he is acting contrary to law,nonbailable
resistance or obstruction to lawful apprehension of another person,nonbailable
counterfeiting coin,nonbailable
import or export of counterfeit coin,nonbailable
possession of counterfeit coin,nonbailable
fraudulent use of false instrument for weighing,bailable
adulteration of food or drink intended for sale,nonbailable
danger or obstruction in public way or line of navigation,bailable
injuring or defiling place of worship with intent to insult the religion of any class,nonbailable
murder,nonbailable
thug,nonbailable
voluntarily throwing or attempting to throw acid,nonbailable
assault or use of criminal force to woman with intent to disrobe,nonbailable
voyeurism,nonbailable
stalking,bailable
kidnapping abducting or inducing woman to compel her marriage etc,nonbailable
selling minor for purpose of prostitution etc,nonbailable
buying minor for purpose of prostitution etc,nonbailable
unnatural offense,nonbailable
extortion,bailable
putting person in fear of injury in order to commit extortion,bailable
robbery,nonbailable
voluntarily causing hurt in committing robbery,nonbailable
robbery or dacoity with attempt to cause death or grievous hurt,nonbailable
dishonestly receiving stolen property,bailable
cheating,bailable
mischief by killing or maiming animal of the value of ten rupee,bailable
mischief by killing or maiming cattle etc of any value or any animal of the value of fifty rupee,bailable
mischief by fire or explosive substance with intent to cause damage,bailable
lurking housetrespass or housebreaking by night in order to commit offense punishable with imprisonment,nonbailable
forgery,bailable
using a genuine a forged document,nonbailable
fraudulent cancellation destruction etc of will authority to adopt or valuable security,nonbailable
using a false property mark,bailable
using a genuine forged or counterfeit currencynotes or banknote,nonbailable
adultery,nonbailable
defamation,bailable
printing or engraving matter known to be defamatory,bailable
sale of printed or engraved substance containing defamatory matter,bailable
attempting to commit offense punishable with imprisonment for life or other imprisonment,same a offence
abetment of offense punishable with death or imprisonment for life if offense not committed,nonbailable
definition of criminal conspiracy,not specified
sedition,nonbailable
abetting mutiny or attempting to seduce a soldier sailor or airman from his duty,nonbailable
abetment of mutiny if mutiny is committed,nonbailable
harboring deserter,bailable
unlawful assembly,bailable
imputation assertion prejudicial to national integration,nonbailable
liability of agent of owner or occupier for whose benefit riot is committed,bailable
being hired to take part in an unlawful assembly or riot,bailable
public servant obtaining anything of value without consideration from person concerned in proceeding or business transacted by such public servant,nonbailable
preventing service of summons or other proceeding or preventing publication thereof,bailable
refusing to answer public servant authorized to question,bailable
false statement on oath or affirmation to public servant,nonbailable
obstructing sale of property offered for sale by authority of public servant,bailable
public servant disobeying direction of law with intent to save person from punishment,nonbailable
counterfeiting coin,nonbailable
making or selling instrument for counterfeiting indian coin,nonbailable
altering appearance of indian coin with intent that it shall pas a coin of different description,nonbailable
making or selling false weight or measure,bailable
fouling water of public spring or reservoir,bailable
danger or obstruction in public way or line of navigation,bailable
printing or publishing grossly indecent or scurrilous matter or matter intended for blackmail,nonbailable
keeping a lottery office,bailable
definition of murder,nonbailable
abetment of suicide of child or insane person,nonbailable
causing miscarriage without woman consent,nonbailable
causing death of quick unborn child by act amounting to culpable homicide,nonbailable
voluntarily causing grievous hurt,nonbailable
assault or criminal force with intent to dishonor person,bailable
kidnapping,same a offence
abduction,same a offence
sexual intercourse by a person in authority,nonbailable
unnatural offense,nonbailable
theft by clerk or servant of property in possession of master,nonbailable
dishonest misappropriation of property,bailable
dishonestly receiving property stolen in the commission of a dacoity,nonbailable
cheating,bailable
cheating under the guise of marriage,nonbailable
mischief,bailable
mischief by killing or maiming cattle etc of any value,bailable
mischief with intent to destroy or make unsafe a decked vessel,nonbailable
housetrespass in order to commit offense punishable with imprisonment,nonbailable
forgery,bailable
trade mark forgery,bailable
selling good marked with a counterfeit property mark,bailable
making or using document resembling currencynotes or banknote,nonbailable
adultery,bailable
intentional insult with intent to provoke breach of the peace,bailable
act caused by inducing person to believe that he will be rendered an object of divine displeasure,bailable
word gesture or act intended to insult the modesty of a woman,bailable
right of private defense against dangerous assault,not specified
right of private defense against dangerous assault,same a offence
abettor,same a offence
concealing design to commit an offense punishable with death or life imprisonment,nonbailable
waging or attempting to wage war or abetting waging of war against the government of india,nonbailable
concealing with intent to facilitate design to wage war,nonbailable
waging war against any asiatic power in alliance with the government of india,nonbailable
public servant voluntarily allowing prisoner of state or war to escape,nonbailable
aiding escape of rescuing or harboring such prisoner,nonbailable
deserter concealed on board merchant vessel through negligence of master,bailable
joining or continuing in unlawful assembly knowing it ha been commanded to disperse,bailable
committing affray,bailable
absconding to avoid service of summons or other proceeding,bailable
furnishing false information,bailable
obstructing sale of property offered for sale by public authority,bailable
giving false evidence,nonbailable
false statement made in declaration which is by law receivable a evidence,nonbailable
giving false information respecting an offense committed,nonbailable
offering gift or restoration of property in consideration of screening offender from punishment,nonbailable
commitment for trial or confinement by person having authority who know that he is acting contrary to law,nonbailable
unlawful return from transportation,nonbailable
making or selling instrument for counterfeiting coin,nonbailable
possession of instrument or material for the purpose of using the same for counterfeiting coin,nonbailable
possession of indian coin by person who knew it to be counterfeit when he became possessed thereof,nonbailable
fraudulently or dishonestly diminishing weight or altering composition of indian coin,nonbailable
delivery of indian coin possessed with knowledge that it is altered,nonbailable
having possession of counterfeit government stamp,nonbailable
prohibition of fictitious stamp,nonbailable
adulteration of drug,nonbailable
sale of drug a a different drug,nonbailable
rash navigation of vessel,bailable
injuring or defiling place of worship with intent to insult the religion of any class,nonbailable
culpable homicide,nonbailable
attempt to commit suicide,bailable
concealment of birth by secret disposal of dead body,bailable
acid attack causing grievous hurt,nonbailable
voluntarily causing hurt on provocation,bailable
act endangering life or personal safety of others,bailable
wrongful confinement,bailable
assault or criminal force on grave provocation,bailable
selling minor for purpose of prostitution etc,nonbailable
rape,nonbailable
theft in dwelling house etc,bailable
dacoity,nonbailable
assembling for purpose of committing dacoity,nonbailable
stolen property,not specified
habitually dealing in stolen property,nonbailable
cheating by personation,bailable
mischief by destroying or moving etc a landmark fixed by public authority,bailable
mischief committed after preparation made for causing death or hurt,nonbailable
lurking housetrespass or housebreaking with intent to commit an offense,nonbailable
forgery for purpose of cheating,nonbailable
counterfeiting device or mark used for authenticating document other than those described in section 467,nonbailable
counterfeiting a property mark used by a public servant,nonbailable
forging or counterfeiting currencynotes or banknote,nonbailable
defamation,bailable
criminal intimidation by anonymous communication,bailable
person includes company or association or body of person,same a offence
act done by several person in furtherance of common intention,same a offence
good faith,same a offence
act done by a person bound or by mistake of fact believing himself bound by law,same a offence
act of a child above seven and under twelve of immature understanding,same a offence
communication made in good faith,not applicable
right of private defense of the body and property,same a offence
when such right of private defense of the body extends to causing any harm other than death,same a offence
right of private defense against deadly assault when there is risk of harm to innocent person,same a offence
punishment of abetment if the person abetted doe act with different intention from that of abettor,same a offence
abetting mutiny or attempting to seduce a soldier sailor or airman from his duty,nonbailable
nontreatment of victim by hospital,nonbailable
nonappearance in response to a proclamation under section 82 of crpc,bailable
obstructing public servant in discharge of public function,bailable
threat of injury to induce person to refrain from applying for protection to public servant,bailable
using a true such declaration known to be false,nonbailable
destruction of document or electronic record to prevent it production a evidence,nonbailable
public servant disobeying direction of law with intent to save person from punishment,nonbailable
commitment for trial or confinement by person having authority who know that he is acting contrary to law,nonbailable
public nuisance,bailable
rash driving or riding on a public way,bailable
negligent conduct with respect to machinery,bailable
deliberate and malicious act intended to outrage religious feeling of any class by insulting it religion or religious belief,nonbailable
trespassing on burial place etc,bailable
abetment of suicide of child or insane person,nonbailable
attempt to commit culpable homicide,nonbailable
death caused by act done with intent to cause miscarriage if act done without woman consent,nonbailable
grievous hurt,same a offence
voluntarily causing hurt by dangerous weapon or mean,nonbailable
voluntarily causing grievous hurt,bailable
causing hurt by mean of poison etc with intent to commit an offense,nonbailable
voluntarily causing grievous hurt to deter public servant from his duty,nonbailable
wrongful confinement for ten or more day,bailable
wrongful confinement in secret,bailable
assault or criminal force in attempt to commit theft of property carried by a person,nonbailable
kidnapping or abducting in order to murder,nonbailable
trafficking of person,nonbailable
buying minor for purpose of prostitution etc,nonbailable
extortion,bailable
putting person in fear of accusation of offense in order to commit extortion,nonbailable
robbery or dacoity with attempt to cause death or grievous hurt,nonbailable
criminal breach of trust,bailable
criminal breach of trust by public servant or by banker merchant or agent,nonbailable
cheating by personation,bailable
mischief by injury to work of irrigation or by wrongfully diverting water,bailable
mischief with intent to destroy or make unsafe a decked vessel,nonbailable
lurking housetrespass or housebreaking by night after preparation for hurt assault or wrongful restraint,nonbailable
forgery of record of court or of public register etc,nonbailable
making or possessing counterfeit seal etc with intent to commit forgery,nonbailable
falsification of account,bailable
making or possessing instrument or material for forging or counterfeiting currency note or bank note,nonbailable
criminal intimidation,bailable
criminal intimidation,bailable
attempting to commit offense punishable with imprisonment for life or other imprisonment,same a offence
animal denotes any living creature other than a human being,same a offence
limit of punishment of offense made up of several offense,same a offence
punishment of person guilty of one of several offense the judgment stating that it is doubtful of which,same a offence
right of private defense against deadly assault when there is risk of harm to innocent person,same a offence
receiving property taken by war or depredation against any asiatic power in alliance or at peace with the government of india,nonbailable
rioting armed with a deadly weapon,nonbailable
knowingly joining or continuing in assembly of five or more person after it ha been commanded to disperse,bailable
punishment for abetment of offense defined in section 161 162 163 or 164,bailable
punishment for undue influence or personation at an election,bailable
furnishing false information to the election commission,nonbailable
disobedience to order duly promulgated by public servant,bailable
threat of injury to public servant,bailable
threatening any person to give false evidence,nonbailable
false personation for purpose of act or proceeding in suit or prosecution,bailable
fraudulent claim to property to prevent it seizure a forfeited or in execution,nonbailable
fraudulently suffering decree for sum not due,nonbailable
harboring offender who ha escaped from custody or whose apprehension ha been ordered,bailable
resistance or obstruction to lawful apprehension or escape or rescue in case not otherwise provided for,bailable
violation of condition of remission of punishment,nonbailable
dealing in counterfeit coin,nonbailable
possession of coin by person who knew it to be altered when he became possessed thereof,nonbailable
having possession of instrument or material for the purpose of using the same for counterfeiting coin,nonbailable
making or selling false weight or measure,bailable
making atmosphere noxious to health,bailable
negligent conduct with respect to pulling down or repairing building,bailable
murder,nonbailable
causing miscarriage,bailable
voluntarily causing hurt,bailable
voluntarily causing hurt,bailable
voluntarily causing hurt to extort property or to constrain to an illegal act,nonbailable
wrongful confinement for three or more day,bailable
wrongful confinement to extort property or constrain to an illegal act,nonbailable
criminal force,bailable
assault or criminal force in attempt to commit theft of property carried by a person,nonbailable
kidnapping or abducting with intent secretly and wrongfully to confine person,nonbailable
kidnapping or abducting child under ten year with intent to steal from it person,nonbailable
unlawful compulsory labor,bailable
theft,bailable
putting person in fear of accusation of offense in order to commit extortion,nonbailable
dacoity,nonbailable
criminal breach of trust by clerk or servant,nonbailable
cheating,bailable
dishonest or fraudulent removal or concealment of property to prevent distribution among creditor,bailable
mischief by causing inundation or obstruction to public drainage attended with damage,bailable
housetrespass,bailable
lurking housetrespass or housebreaking in order to commit an offense punishable with imprisonment,nonbailable
all person jointly concerned in lurking housetrespass or housebreaking by night punishable where death or grievous hurt is caused,nonbailable
making a false document,bailable
making or possessing counterfeit seal etc with intent to commit forgery for the purpose of cheating,nonbailable
counterfeiting a mark used by a public servant,bailable
same offense with concealment of former marriage from person with whom subsequent marriage is contracted,nonbailable
act caused by inducing person to believe that he will be rendered an object of divine displeasure,bailable
procedure where officer in charge of prison forward convict to court or magistrate,same a offence
offense definitionwhich includes any act punishable by the code,not applicable
illegal legally bound to do definition,not applicable
harbor definition relating to providing shelter to an offender,not applicable
sentence of imprisonment for nonpayment of fine,same a offence
solitary confinement,same a offence
act of a person of unsound mind,same a offence
act of a person incapable of judgment by reason of intoxication caused against his will,same a offence
consent known to be given under fear or misconception,same a offence
when the right of private defense of property extends to causing death,same a offence
concealing design to commit an offense,nonbailable
rioting,bailable
harboring person hired for an unlawful assembly,bailable
taking gratification in order by corrupt or illegal mean to influence public servant,bailable
medical examination of the victim of rape,same a offence
wearing garb or carrying token used by public servant with fraudulent intent,bailable
preventing service of summons or other proceeding or preventing publication thereof,bailable
fabricating false evidence,nonbailable
using a true a certificate known to be false in a material point,nonbailable
taking gift to screen an offender from punishment,nonbailable
public servant in judicial proceeding corruptly making report etc contrary to law,nonbailable
intentional omission to apprehend on the part of public servant bound to apprehend,bailable
omission to apprehend or sufferance of escape on part of public servant in case not otherwise provided for,bailable
failure by person released on bail or bond to appear in court,bailable
coin defined,not applicable
delivery of coin possessed with knowledge that it is counterfeit,nonbailable
fraudulently diminishing weight or altering composition of indian coin,nonbailable
delivery of coin a genuine which when first possessed the deliverer did not know to be altered,bailable
altering appearance of a stamp issued by government for denoting value,nonbailable
disobedience to quarantine rule,bailable
sale of noxious food or drink,nonbailable
sale of adulterated drug,nonbailable
fouling water of public spring or reservoir,bailable
negligent conduct with respect to animal,bailable
culpable homicide by causing death of person other than person whose death wa intended,nonbailable
causing miscarriage without woman consent,nonbailable
act done with intent to prevent child being born alive or to cause it to die after birth,nonbailable
exposure and abandonment of child under twelve year by parent or person having care of it,bailable
hurt,same a offence
voluntarily causing hurt to extort property or to constrain to an illegal act,nonbailable
voluntarily causing grievous hurt to extort confession or to compel restoration of property,nonbailable
voluntarily causing hurt on provocation,bailable
wrongful restraint,bailable
force defined,same a offence
assault or criminal force to deter public servant from discharge of his duty,nonbailable
wrongfully concealing or keeping in confinement kidnapped or abducted person,nonbailable
causing death or resulting in persistent vegetative state of victim,nonbailable
unnatural offense,nonbailable
theft by clerk or servant of property in possession of master,nonbailable
dishonest misappropriation of property possessed by deceased person at the time of his death,bailable
dishonestly receiving property stolen in the commission of a dacoity,nonbailable
dishonest or fraudulent execution of deed of transfer containing false statement of consideration,bailable
mischief,bailable
mischief by injury to public road bridge river or channel,bailable
punishment for housetrespass,bailable
housebreaking defined,same a offence
housetrespass to commit offense punishable with imprisonment,nonbailable
punishment for same offense when committed by person entrusted with custody,nonbailable
nan,nan
offense requiring a particular intent or knowledge committed by one who is intoxicated,same a offence
conspiracy to commit offense,nonbailable
abetment of desertion of soldier sailor or airman,nonbailable
hiring or conniving at hiring of person to join unlawful assembly,bailable
owner or occupier of land on which an unlawful assembly is held,bailable
affray,bailable
public servant unlawfully buying or bidding for property,bailable
false statement on oath or affirmation to public servant,nonbailable
punishment for false evidence,nonbailable
issuing or signing false certificate,nonbailable
intentional omission to give information of an offense by person bound to inform,bailable
dishonestly making false claim in court,nonbailable
taking gift to help to recover stolen property etc,bailable
public servant disobeying direction of law with intent to save person from punishment,nonbailable
intentional omission to apprehend by a public servant a person under sentence or lawfully committed,bailable
violation of condition of remission of punishment,nonbailable
counterfeiting indian coin,nonbailable
person employed in mint causing coin to be of different weight or composition from that fixed by law,nonbailable
altering appearance of indian coin with intent that it shall pas a coin of different description,nonbailable
possession of altered indian coin by person who knew it to be altered when he became possessed thereof,bailable
making or selling false weight or measure,bailable
using government stamp known to have been before used,nonbailable
being in possession of false weight or measure,bailable
sale of drug a a different drug,nonbailable
conveying person by water for hire in unsafe or overloaded vessel,bailable
negligent conduct with respect to poisonous substance,bailable
public nuisance in case not otherwise provided for,bailable
sale etc of obscene object to young person,bailable
disturbing religious assembly,bailable
punishment for murder by lifeconvict,nonbailable
attempt to murder,nonbailable
concealment of birth by secret disposal of dead body,bailable
voluntarily causing grievous hurt,bailable
voluntarily causing grievous hurt to extort property or to constrain to an illegal act,nonbailable
voluntarily causing hurt to deter public servant from duty,nonbailable
wrongful restraint,bailable
wrongful confinement of person for 10 or more day,bailable
wrongful confinement to extort confession or compel restoration of property,nonbailable
punishment for assault or criminal force otherwise than on grave provocation,bailable
assault or criminal force in attempt to commit theft of property on person,nonbailable
kidnapping or abducting in order to subject person to grievous hurt slavery etc,nonbailable
habitual dealing in slave,nonbailable
theft,bailable
theft after preparation made for causing death hurt or restraint,nonbailable
extortion by putting a person in fear of death or grievous hurt,nonbailable
voluntarily causing hurt in committing robbery,nonbailable
belonging to a gang of dacoit,nonbailable
criminal breach of trust,bailable
assisting in concealment of stolen property,bailable
dishonestly or fraudulently preventing debt being available for creditor,bailable
dishonest or fraudulent removal or concealment of property,bailable
mischief by destroying moving or rendering less useful a lighthouse or seamark,nonbailable
criminal trespass,bailable
housetrespass in order to commit offense punishable with imprisonment for life,nonbailable
lurking housetrespass or housebreaking after preparation for hurt assault or wrongful restraint,nonbailable
dishonestly breaking open receptacle containing property,bailable
forgery for purpose of harming reputation,nonbailable
property mark defined,same a offence
making or possession of any instrument for counterfeiting a property mark,bailable
making a false mark upon any receptacle containing good,bailable
breach of contract of service during voyage or journey,bailable
breach of contract to serve at distant place to which servant is conveyed at master expense,bailable
statement conducing to public mischief,nonbailable
word gesture or act intended to insult the modesty of a woman,bailable
sending illegal gratuity to public servant,nonbailable
punishment for abetment of offense defined in preceding section,nonbailable
special law definition,not applicable
local law definition,not applicable
vessel includes any ship or boat or anything made for the conveyance by water of human being or of property,not applicable
oath includes affirmation and declaration substituted by law for an oath,not applicable
commutation of sentence of imprisonment for life,not specified
fraction of term of punishment,not applicable
offender who is sentenced to transportation may be committed to jail until he can be transported,not applicable
transportation instead of imprisonment,not applicable
amount of fine,same a offence
description of imprisonment for nonpayment of fine,same a offence
imprisonment for nonpayment of fine when offense punishable with fine only,same a offence
imprisonment to terminate on payment of fine,not applicable
termination of imprisonment on payment of proportional part of fine,not applicable
fine leviable within six year or during imprisonment death not to discharge property from liability,not applicable
limit of solitary confinement,not applicable
enhanced punishment for certain offense under chapter xii or chapter xvii after previous conviction,nonbailable
act of judge when acting judicially,not applicable
act done pursuant to the judgment or order of court,not applicable
act not intended and not known to be likely to cause death or grievous hurt done by consent,not applicable
act not intended to cause death done by consent in good faith for person benefit,not applicable
act done in good faith for benefit of child or insane person by or by consent of guardian,not applicable
exclusion of act which are offense independently of harm caused,not applicable
act done in good faith for benefit of a person without consent if harm done is less than risk avoided,not applicable
act to which a person is compelled by threat,not applicable
act causing slight harm,not applicable
thing done in private defense,not applicable
act against which there is no right of private defense,not applicable
when the right of private defense of the body extends to causing death,same a offence
commencement and continuance of the right of private defense of the body,not applicable
when such right of private defense of property extends to causing any harm other than death,same a offence
commencement and continuance of the right of private defense of property,not applicable
liability of abettor when one act abetted and different act done,same a offence
abettor when liable to cumulative punishment for act abetted and for act done,same a offence
liability of abettor for an offense caused by the act abetted different from that intended,same a offence
abetment of offense punishable with imprisonment if offense not committed,bailable
abetting commission of offense by the public or by more than ten person,nonbailable
public servant concealing design to commit offense which it is his duty to prevent,nonbailable
collecting arm etc with intention of waging war against the government of india,nonbailable
committing depredation on territory of power at peace with the government of india,nonbailable
abetment of assault by soldier sailor or airman on his superior officer when in execution of his office,nonbailable
abetment of act of insubordination by soldier sailor or airman,bailable
every member of unlawful assembly guilty of offense committed in prosecution of common object,nonbailable
liability of person for whose benefit riot is committed,bailable
public servant taking gratification other than legal remuneration in respect of an official act,bailable
taking gratification in order by corrupt or illegal mean to influence a public servant,bailable
public servant unlawfully engaging in trade,bailable
refusing oath when duly required to take oath by public servant,bailable
resistance to the taking of property by the lawful authority of a public servant,bailable
giving false evidence,nonbailable
giving or fabricating false evidence with intent to procure conviction of capital offense,nonbailable
giving or fabricating false evidence with intent to procure conviction of offense punishable with imprisonment for life or imprisonment up to seven year,nonbailable
fraudulently obtaining decree for sum not due,nonbailable
harboring offender,same a offence
public servant framing incorrect record or writing with intent to save person from punishment,nonbailable
escape from confinement or custody negligently suffered by a public servant,bailable
resistance or obstruction by a person to his lawful apprehension,bailable
disclosure of identity of the victim of certain offense,nonbailable
delivery of counterfeit coin a genuine,nonbailable
altering appearance of indian coin with intent that it shall pas a coin of different description,nonbailable
using a genuine a government stamp known to be counterfeit,nonbailable
fraudulent use of false instrument for weighing,bailable
public nuisance,bailable
malignant act likely to spread infection of disease dangerous to life,nonbailable
rash driving or riding on a public way,bailable
negligent conduct with respect to fire or combustible matter,bailable
sale etc of obscene book etc,bailable
keeping a lottery office,bailable
trespassing on burial place etc,bailable
culpable homicide by causing death of person other than person whose death wa intended,nonbailable
act done with intent to prevent child being born alive or to cause it to die after birth,nonbailable
voluntarily causing hurt by mean of acid etc,nonbailable
voluntarily causing hurt to extort confession or to compel restoration of property,nonbailable
causing grievous hurt by act endangering life or personal safety of others,bailable
wrongful confinement,bailable
wrongful confinement for ten or more day,bailable
wrongful confinement in secret,bailable
wrongful confinement to extort confession or compel restoration of property,nonbailable
assault or criminal force to woman with intent to outrage her modesty,nonbailable
procuration of minor girl,nonbailable
kidnapping or abducting in order to subject person to grievous hurt slavery etc,nonbailable
exploitation of a trafficked person,nonbailable
buying minor for purpose of prostitution etc,nonbailable
theft in dwelling house etc,bailable
putting person in fear of death or of grievous hurt in order to commit extortion,nonbailable
robbery defined,nonbailable
robbery,nonbailable
robbery or dacoity with attempt to cause death or grievous hurt,nonbailable
belonging to a gang of thief,nonbailable
criminal breach of trust by carrier etc,nonbailable
criminal breach of trust by clerk or servant,nonbailable
stolen property defined,same a offence
habitually dealing in stolen property,nonbailable
cheating,bailable
cheating by personation,bailable
punishment for cheating by personation,bailable
dishonestly or fraudulently preventing debt being available for creditor,bailable
mischief,bailable
mischief by killing or maiming animal of the value of ten rupee,bailable
mischief by destroying or moving etc a landmark fixed by public authority,bailable
punishment for cheating a public authority by personation,nonbailable
housebreaking defined,not applicable
punishment for housebreaking,bailable
punishment for housetrespass,bailable
housetrespass in order to commit offense punishable with imprisonment for life,nonbailable
lurking housetrespass or housebreaking in order to commit an offense,nonbailable
punishment for lurking housetrespass by night or housebreaking by night,bailable
lurking housetrespass or housebreaking by night in order to commit offense punishable with imprisonment,nonbailable
grievous hurt caused while committing lurking housetrespass or housebreaking,nonbailable
punishment for same offense when committed by person entrusted with custody,nonbailable
forgery,bailable
forgery of valuable security will etc,nonbailable
forgery for purpose of harming reputation,nonbailable
having possession of document described in section 466 or 467 knowing it to be forged and intending to use it a genuine,nonbailable
counterfeiting device or mark used for authenticating document described in section 467 or possessing counterfeit seal etc with intent to commit forgery for that purpose,nonbailable
trade mark defined,not applicable
using a false property mark,bailable
counterfeiting a property mark used by a public servant,nonbailable
counterfeiting the mark used by a public servant,nonbailable
selling good marked with a counterfeit property mark,bailable
punishment for cheating and dishonestly inducing delivery of property,nonbailable
breach of contract of service during voyage or journey,bailable
breach of contract to serve at distant place to which servant is conveyed at master expense,bailable
marrying again during lifetime of husband or wife,nonbailable
marriage ceremony fraudulently gone through without lawful marriage,bailable
husband or relative of husband of a woman subjecting her to cruelty,nonbailable
printing or engraving matter known to be defamatory,bailable
criminal intimidation,bailable
intentional insult with intent to provoke breach of the peace,bailable
punishment for criminal intimidation,bailable
act caused by inducing person to believe that he will be rendered an object of divine displeasure,bailable
misconduct in public by a drunken person,bailable
procedure where officer in charge of prison forward convict to court or magistrate,not applicable
attempting to commit offense punishable with imprisonment for life or other imprisonment,same a offence
person concerned in a criminal act may be guilty of different offense,same a offence
voluntarily defined,not applicable
injury defined,not applicable
death defined,not applicable
year and month defined,not applicable
section denotes a section of this code,not applicable
construction of reference to transportation,not applicable
sentence may be in certain case of imprisonment wholly or partly rigorous or simple,same a offence
act done by a person justified or by mistake of fact believing himself justified by law,not applicable
accident in doing a lawful act,not applicable
act likely to cause harm but done without criminal intent and to prevent other harm,not applicable
right of private defense of body and property,not applicable
punishment for abetment if the act abetted is committed in consequence and where no express provision is made for it punishment,same a offence
abetment of offense punishable with death or imprisonment for life if offense not committed,nonbailable
conspiracy to commit offense punishable by section 121,nonbailable
abetment of criminal conspiracy,nonbailable
rioting,bailable
illegal gratification,bailable
omission to produce document to public servant by person legally bound to produce it,bailable
giving or fabricating false evidence,nonbailable
fraudulently claiming property to prevent seizure,nonbailable
corrupt or illegal conduct by a public servant in judicial proceeding,same a offence
intentionally insulting or interrupting a public servant sitting in judicial proceeding,bailable
abetment of counterfeiting of coin,nonbailable
manufacture of counterfeit coin,nonbailable
possession of altered indian coin,bailable
possession of false weight or measure,bailable
violation of quarantine rule,bailable
sale of drug by false name,nonbailable
danger or obstruction in public way or line of navigation,bailable
negligent conduct with respect to explosive substance,bailable
continuance of nuisance after injunction to discontinue,bailable
trespassing on burial place,bailable
attempt to commit suicide,bailable
death caused by act done with intent to cause miscarriage,nonbailable
voluntarily causing grievous hurt,bailable
voluntarily causing grievous hurt to extort confession or compel restoration of property,nonbailable
wrongful restraint,bailable
force defined,not applicable
assault or criminal force otherwise than on grave provocation,bailable
kidnapping,same a offence
kidnapping or abducting child under ten year with intent to steal from it person,nonbailable
sexual intercourse by husband upon his wife during separation,nonbailable
theft,bailable
theft after preparation made for causing death hurt or restraint,nonbailable
robbery defined,nonbailable
belonging to a gang of thief,nonbailable
criminal breach of trust,bailable
criminal breach of trust by clerk or servant,nonbailable
dishonestly receiving property stolen in the commission of a dacoity,nonbailable
cheating,bailable
cheating with knowledge that wrongful loss may ensue to person whose interest offender is bound to protect,bailable
dishonestly or fraudulently preventing debt being available for creditor,bailable
mischief by injury to work of irrigation or by wrongfully diverting water,bailable
mischief by fire or explosive substance with intent to cause damage,bailable
housetrespass,bailable
punishment for housetrespass,bailable
housetrespass in order to commit an offense punishable with imprisonment,nonbailable
lurking housetrespass or housebreaking by night punishable where death or grievous hurt is caused,nonbailable
making or possessing counterfeit seal etc with intent to commit forgery,nonbailable
property mark defined,not applicable
using a false property mark,bailable
counterfeiting a property mark used by a public servant,nonbailable
making a false mark upon any receptacle containing good,bailable
breach of contract to attend on and supply want of helpless person,bailable
same offense with concealment of former marriage from person with whom subsequent marriage is contracted,nonbailable
defamation,bailable
punishment for defamation,bailable
sale of printed or engraved substance containing defamatory matter,bailable
prohibition against act which cause religious offense,nonbailable
criminal intimidation by anonymous communication,bailable
misconduct in public by a drunken person,bailable
liability for commission of offense when primary accused is dead,not applicable
procedure where officer in charge of prison forward convict to court or magistrate,not applicable
abetment of the false return by public servant,nonbailable
remains in india beyond the period for which the visa wa issued,nonbailable
violates condition of the visa,nonbailable
contravenes provision of the act order or direction,nonbailable
entry into restricted area without a permit or overstaying in such area,nonbailable
enters or stay in india without valid document,nonbailable
using a forged passport to enter or remain in india,nonbailable
abets any of the offense mentioned in section 14 14a or 14b,nonbailable
assisting an internee or person on parole to escape,nonbailable
giving assistance to escaped internee or person on parole,nonbailable
failure to furnish required information by master of vessel or pilot of aircraft,nonbailable
obligation of hotel keeper and others to furnish particular,nonbailable
attempt abetment or preparatory act to contravene the provision of the act,nonbailable
master of vessel or pilot of aircraft facilitating illegal entry or departure,nonbailable
nan,nan
obligation of master of vessel etc,nonbailable
burden of proof,not directly related to an offense
power to control place frequented by foreigner,not directly related to an offense
determination of nationality,not directly related to an offense
power to delegate authority,not directly related to an offense
attempted contravention and preparatory act,nonbailable
assisting or harboring offender,nonbailable
entering or staying in restricted area,nonbailable
using a forged passport,nonbailable
abetment of offense,nonbailable
parole for foreigner,nonbailable
order for detention or confinement,nonbailable
failure to comply with reporting requirement by foreigner,nonbailable
power to control entry and exit point,not directly related to an offense
prohibition on certain activity,not directly related to an offense
regulation of foreigner conduct,not directly related to an offense
requirement for foreigner to submit to medical examination,not directly related to an offense
requirement for foreigner to provide identity proof,nonbailable
delegation of power to local authority,not directly related to an offense
prohibition of association with certain person,not directly related to an offense
enforcement of order through force,not directly related to an offense
protection for action taken in good faith,not directly related to an offense
regulation of access to place for foreigner,not directly related to an offense
treatment of uncertain nationality,not directly related to an offense
revised penalty for specific violation section 14 a amended in 2004,nonbailable
prescribed condition for foreigner residence section 32ei,not directly related to an offense
imposing restriction on movement section 32eii,not directly related to an offense
